ticker,company name,short name,industry,exchange
AFT,Apollo Senior Floating Rate Fund Inc.,Apollo Senior Floating Rate Fund,Asset Management,New York Stock Exchange
AG,First Majestic Silver Corp. (Canada),First Majestic Silver (Canada),Metals & Mining,New York Stock Exchange
AGCO,AGCO Corporation,AGCO,Farm & Construction Machinery,New York Stock Exchange
AGD,Aberdeen Global Dynamic Dividend Fund,Aberdeen Global Dynamic Dividend Fund,Asset Management,New York Stock Exchange
AGE,AgeX Therapeutics Inc.,AgeX Therapeutics,Biotechnology,NYSE American
AGEN,Agenus Inc.,Agenus,Biotechnology,NASDAQ Capital Market
AGF,DB Agriculture Long ETN due April 1 2038,DB Agriculture Long ETN due April 1 2038,,NYSE Arca
AGFS,AgroFresh Solutions Inc.,AgroFresh Solutions,Agriculture,Nasdaq Global Select
AGG,iShares Core U.S. Aggregate Bond,iShares Core U.S. Aggregate Bond,,NYSE Arca
AGI,Alamos Gold Inc. Class A,Alamos Gold,Metals & Mining,New York Stock Exchange
AGIO,Agios Pharmaceuticals Inc.,Agios Pharmaceuticals,Biotechnology,Nasdaq Global Select
AGLE,Aeglea BioTherapeutics Inc.,Aeglea BioTherapeutics,Biotechnology,NASDAQ Global Market
AGM,Federal Agricultural Mortgage Corporation,Federal Agricultural Mortgage,Credit Services,New York Stock Exchange
AGM.A,Federal Agricultural Mortgage Corporation,Federal Agricultural Mortgage,Credit Services,New York Stock Exchange
AGMH,AGM Group Holdings Inc.,AGM,Application Software,NASDAQ Capital Market
AGN,Allergan plc,Allergan plc,Drug Manufacturers,New York Stock Exchange
AGNC,AGNC Investment Corp.,AGNC Investment,REITs,Nasdaq Global Select
AGO,Assured Guaranty Ltd.,Assured Guaranty,Insurance - Specialty,New York Stock Exchange
AGQ,ProShares Ultra Silver,ProShares Ultra Silver,,NYSE Arca
AGR,Avangrid Inc.,Avangrid,Utilities - Regulated,New York Stock Exchange
AGRO,Adecoagro S.A.,Adecoagro S.A.,Consumer Packaged Goods,New York Stock Exchange
AGRX,Agile Therapeutics Inc.,Agile Therapeutics,Drug Manufacturers,NASDAQ Capital Market
AGS,PlayAGS Inc.,PlayAGS,Travel & Leisure,New York Stock Exchange
AGTC,Applied Genetic Technologies Corporation,Applied Genetic,Biotechnology,NASDAQ Global Market
AGX,Argan Inc.,Argan,Engineering & Construction,New York Stock Exchange
AGYS,Agilysys Inc.,Agilysys,Application Software,Nasdaq Global Select
AGZ,iShares Agency Bond,iShares Agency Bond,,NYSE Arca
AHC,A.H. Belo Corporation (TX),A.H. Belo (TX),Publishing,New York Stock Exchange
AHH,Armada Hoffler Properties Inc.,Armada Hoffler Properties,REITs,New York Stock Exchange
AHL,Aspen Insurance Holdings Limited,Aspen Insurance Limited,Insurance - Specialty,New York Stock Exchange
AHPI,Allied Healthcare Products Inc.,Allied Healthcare Products,Medical Devices,NASDAQ Capital Market
AHT,Ashford Hospitality Trust Inc,Ashford Hospitality Trust,REITs,New York Stock Exchange
AI,Arlington Asset Investment Corp Class A (new),Arlington Asset Investment (new),Banks,New York Stock Exchange
AIA,iShares Asia 50 ETF,iShares Asia 50 ETF,,NASDAQ Global Market
